Año,Id Línea,Nombre Línea,Inversión,Inversión,Presupuesto Gasto,Gasto Real
2012,X05,Educación,"COLEGIO PÚBLICO GONZALO DE BERCEO II, C/ PORTALEGRE, 79. ACONDICIONAMIENTO",,58344.91,58344.91
2012,X05,Educación,COLEGIO PÚBLICO PINAR DE SAN JOSÉ. OBRAS DE CONSERVACIÓN,,1174.11,1174.11
2012,X05,Educación,"COLEGIO PÚBLICO JULIÁN BESTEIRO, AV. ABRANTES, 79. OBRAS DE ACONDICIONAMIENTO",,164997.9,164997.9
2012,X05,Educación,"COLEGIO PÚBLICO CONCEPCIÓN ARENAL,C/ ANTONIO LÓPEZ, 1. OBRAS DE CONSERVACIÓN",,16491.16,16491.16
2012,X05,Educación,OBRAS CONSERVACIÓN COLEGIOS Y OTROS CENTROS EDUCATIVOS DTO. CARABANCHEL,,401.16,
2012,X05,Educación,"COLEGIO PÚBLICO REPÚBLICA DE COLOMBIA, PZ. ALLOZ, 3. OBRAS DE CONSERVACIÓN",,7483.0,7483.0
2012,X05,Educación,"COLEGIO PÚBLICO REPÚBLICA DOMINICANA, RONDA DE DON BOSCO, 2. CONSERVACIÓN",,1958.25,1958.25
2012,X04,Salud pública,,,2319.81,2319.81
2012,X04,Salud pública,"EQUIPAMIENTO CENTRO DE PROTECCIÓN ANIMAL, CRTA. DE LA FORTUNA, 33",,2319.81,2319.81
2013,X03,Protección y promoción social,,,208642.92,163225.75
2013,X03,Protección y promoción social,"CENTRO DE MAYORES SAN VICENTE DE PAUL, C/ ANTONIA LANCHA, 54. OBRAS DE REFORMA",,85063.05,85063.05
2013,X03,Protección y promoción social,CENTRO DE DÍA DE MAYORES LA MAGDALENA. OBRAS DE CONSERVACIÓN,,8579.13,8579.13
2013,X03,Protección y promoción social,"EQUIPAMIENTO CENTRO DE MAYORES SAN VICENTE DE PAUL, C/ ANTONIA LANCHA, 54",,3958.44,2535.78
2013,X03,Protección y promoción social,"CENTRO GERIÁTRICO C/GENERAL RICAROS, 14. REFORMAS",,57966.12,13988.11
2013,X03,Protección y promoción social,"CENTRO DE MAYORES TIERNO GALVÁN, C/ CARRERO JUAN RAMÓN, 24. CONSERVACIÓN",,831.07,831.07
2013,X03,Protección y promoción social,CENTRO DE DÍA DE ALZHEIMER DOCTOR SALGADO ALBA. REFORMA DE INSTALACIONES,,18025.59,18025.59
2013,X03,Protección y promoción social,"EQUIPAMIENTO CENTRO DE MAYORES ROGER DE FLOR, PZA. ROGER DE FLOR, 15",,302.5,286.0
2013,X03,Protección y promoción social,"CENTRO SERVICIOS SOCIALES ZAIDA, C/ ZAIDA, 36. OBRAS DE CONSERVACIÓN",,1271.38,1271.38
2013,X03,Protección y promoción social,"CENTRO DE DÍA DE MAYORES AURORA VILLA, C/ MERCEDES ARTEAGA, 18. CONSERVACIÓN",,14574.29,14574.29
2013,X03,Protección y promoción social,CENTRO DE MAYORES MONSEÑOR OSCAR ROMERO. OBRAS DE CONSERVACIÓN,,12264.53,12264.53
